,CHR,MARKER,POS,LOD,0,0.05,0.1,0.15,0.2,0.25,0.3,0.4,0.5,,,1,2,3,4,5,6,7,8,9,10,11,12,13
1,1,M1,1,0.308427569,-11.52736886,-0.75934626,-0.06925457,0.208389925,0.307679042,0.308427569,0.252541345,0.085466373,0,,CHR,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,M2,2,0.011001248,-20.34522843,-2.485578187,-1.215953144,-0.610150677,-0.282603007,-0.106777795,-0.021877528,0.011001248,0,,MARKER,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
3,1,M3,3,0.839488682,0.839488682,0.736061965,0.632742858,0.528933368,0.424775264,0.321870682,0.223598869,0.063680595,0,,POS,1,2,3,4,5,6,7,8,9,10,11,12,13
4,1,M4,4,0,-20.80169189,-2.880360742,-1.545568684,-0.875183379,-0.485945057,-0.253366348,-0.11864337,-0.014209486,0,,LOD,0.308427569,0.011001248,0.839488682,0,0.31457136,0.008244536,0.905734712,0.519403712,1.408297772,0.488132185,0.011489241,0.097370131,1.309170538
5,1,M5,5,0.31457136,-11.4691832,-0.629918718,-0.002037624,0.237629107,0.31457136,0.303687901,0.243624199,0.080598219,0,,0,-11.52736886,-20.34522843,0.839488682,-20.80169189,-11.4691832,-16.24290727,-6.483198718,-3.089972435,1.408297772,-14.5117812,-16.13148602,-8.403985953,-3.274896399
6,1,M6,6,0.008244536,-16.24290727,-2.039863868,-1.011972008,-0.516179049,-0.244591832,-0.096328689,-0.022962559,0.008244536,0,,0.05,-0.75934626,-2.485578187,0.736061965,-2.880360742,-0.629918718,-2.039863868,0.607967035,0.414955726,1.250479446,-0.618493411,-1.953845791,-0.921188213,1.223133142
7,1,M7,7,0.905734712,-6.483198718,0.607967035,0.887882121,0.905734712,0.813197067,0.662824845,0.484875573,0.147264826,0,,0.1,-0.06925457,-1.215953144,0.632742858,-1.545568684,-0.002037624,-1.011972008,0.887882121,0.519403712,1.076407826,0.153684714,-0.946760803,-0.343568,1.309170538
8,1,M8,8,0.519403712,-3.089972435,0.414955726,0.519403712,0.499014007,0.430097482,0.339124922,0.241073633,0.070054239,0,,0.15,0.208389925,-0.610150677,0.528933368,-0.875183379,0.237629107,-0.516179049,0.905734712,0.499014007,0.893526245,0.422983076,-0.468232691,-0.076381287,1.233100521
9,1,M9,9,1.408297772,1.408297772,1.250479446,1.076407826,0.893526245,0.708600807,0.528559348,0.361077304,0.099886346,0,,0.2,0.307679042,-0.282603007,0.424775264,-0.485945057,0.31457136,-0.244591832,0.813197067,0.430097482,0.708600807,0.488132185,-0.210776919,0.050381027,1.079325969
10,1,M10,10,0.488132185,-14.5117812,-0.618493411,0.153684714,0.422983076,0.488132185,0.447141903,0.349382493,0.113427249,0,,0.25,0.308427569,-0.106777795,0.321870682,-0.253366348,0.303687901,-0.096328689,0.662824845,0.339124922,0.528559348,0.447141903,-0.073788592,0.097370131,0.880116822
11,1,M11,11,0.011489241,-16.13148602,-1.953845791,-0.946760803,-0.468232691,-0.210776919,-0.073788592,-0.009098451,0.011489241,0,,0.3,0.252541345,-0.021877528,0.223598869,-0.11864337,0.243624199,-0.022962559,0.484875573,0.241073633,0.361077304,0.349382493,-0.009098451,0.096886125,0.655872868
12,1,M12,12,0.097370131,-8.403985953,-0.921188213,-0.343568,-0.076381287,0.050381027,0.097370131,0.096886125,0.037314071,0,,0.4,0.085466373,0.011001248,0.063680595,-0.014209486,0.080598219,0.008244536,0.147264826,0.070054239,0.099886346,0.113427249,0.011489241,0.037314071,0.214990989
13,1,M13,13,1.309170538,-3.274896399,1.223133142,1.309170538,1.233100521,1.079325969,0.880116822,0.655872868,0.214990989,0,,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
